Date,return,vol_ratio,ret_z,vol_z,intraday_range,close_open_ret,flag_vol_return,flag_bollinger,z_band,z_intensity,binary_flags,rule_score
2019-12-17,0.0016082096112948,0.9495953524295644,-0.0811777217718469,0.8829834781440945,1.3999996185302734,-0.0111146517628982,False,False,Medium,0.0,0.0,0.0
2019-12-18,0.0128452644097312,0.9749529552104598,0.1616806200792975,0.9844352243091696,1.8599987030029297,0.0108974405215962,False,False,Medium,0.0,0.0,0.0
2019-12-19,0.0231451972430649,1.1037444260806029,0.370240171652819,1.3072691607319158,1.80999755859375,0.0224968632394141,False,False,Medium,0.08251473902455064,0.0,0.04125736951227532
2019-12-20,-0.0024791394459197,0.7868170970051649,-0.1693100444255209,0.6326224785149224,1.5699996948242188,-0.0209854750301503,False,False,Medium,0.0,0.0,0.0
2019-12-23,0.1028270119447787,1.4199146649096634,1.992673600607128,2.1243528730808925,4.170000076293945,0.0990712333908608,False,False,Medium,0.7110406716006865,0.0,0.35552033580034326
2019-12-24,-0.0304225867902728,0.6901233724698004,-0.7463429421753222,0.4545408238919063,2.049999237060547,-0.0385475166906328,False,False,Medium,0.0,0.0,0.0
2019-12-26,0.0261476343334299,0.7368190363018302,0.4095939131151566,0.5719747888132504,1.6000022888183594,0.0123244572283758,False,False,Medium,0.0,0.0,0.0
2019-12-27,0.0317100493080944,1.2565974193981404,0.5165912122427037,1.7211907358760308,2.679996490478516,0.0293784479096643,False,False,Medium,0.40091595067386987,0.0,0.20045797533693493
2019-12-30,0.0367727827411537,1.238427609249933,0.6136366367043978,1.7064103207609334,2.990001678466797,0.0373421383505509,False,False,Medium,0.38954640058533335,0.0,0.19477320029266668
2019-12-31,0.0418211191663804,1.3059493783745606,0.7142731821726199,1.7144638123917355,2.8499984741210938,0.0496000162760416,False,False,Medium,0.3957413941474889,0.0,0.19787069707374444
2020-01-02,-0.0325202936851641,1.7307076061574096,-0.8046337301744716,2.465622333010348,3.470001220703132,-0.0479999542236328,False,False,High,0.9735556407771907,0.0,0.48677782038859535
2020-01-03,-0.0357143000251241,0.825879688643156,-0.8559049606143868,0.5275332555015265,1.3600006103515625,-0.0076748563483666,False,False,Medium,0.0,0.0,0.0
2020-01-06,-0.0623638572821239,1.7841526684249214,-1.3956624618684397,2.5164241402477323,2.8499984741210938,-0.0438766478756711,False,False,High,1.0,0.0,0.5
2020-01-07,0.0197502265218847,1.1279989929409564,0.2817610060161758,1.106492520134927,1.75,0.0182714929373335,False,False,Medium,0.0,0.0,0.0
2020-01-08,0.1238962802193337,2.2249177374987137,2.35041702992376,3.26024783418203,5.950000762939453,0.1605882083668428,False,False,High,1.0,0.0,0.5
2020-01-09,0.1244298013515203,2.881579349359187,2.288612494565805,4.455720393253664,6.270000457763679,0.1333332618788109,True,False,High,1.0,0.5,0.85
2020-01-10,-0.0236646216438379,2.657330649088183,-0.6069697766105293,3.993191580565718,4.119998931884766,0.0100256542619481,False,False,Medium,1.0,0.0,0.5
2020-01-13,0.059556829391274,1.5026863980113194,1.0469350348341673,1.8367094331349891,3.5600013732910227,0.0391669329556348,False,False,Medium,0.48977648702691473,0.0,0.24488824351345737
2020-01-14,-0.0021786990303688,1.4408692833115426,-0.1810447108373898,1.7800411342468752,3.34000015258789,-0.036398055684148,False,False,Medium,0.4461854878822117,0.0,0.22309274394110584
2020-01-15,-0.0146287812250258,0.8885135951007506,-0.4266703116939663,0.6937865424063929,2.450000762939453,-0.0195524165772179,False,False,Medium,0.0,0.0,0.0
2020-01-16,0.0753378601974767,1.2352176119006724,1.3642658771257838,1.4206812544720109,2.6300010681152344,0.0277424295791716,False,False,Medium,0.16975481113231608,0.0,0.08487740556615804
2020-01-17,0.0307026935080498,1.385712194687337,0.4843765373959625,1.7601202210061602,2.3199996948242188,0.0177008932833234,False,False,Medium,0.4308617084662771,0.0,0.21543085423313854
2020-01-21,-0.0471811393193473,1.19832721771799,-1.0870569156838172,1.3984636749246404,2.270000457763672,-0.0027202566567224,False,False,Medium,0.1526643653266465,0.0,0.07633218266332326
2020-01-22,-0.0820394431374388,1.4268375830128337,-1.7543497273876796,1.935120690127924,6.009998321533203,-0.1021957641908031,False,False,Medium,0.5654774539445571,0.0,0.28273872697227853
2020-01-23,0.0210285295758929,1.4870706033091208,0.2890641742317018,2.1334555254323453,4.099998474121094,0.0640781004297668,False,False,Medium,0.7180427118710349,0.0,0.35902135593551743
2020-01-24,-0.0859636555920031,1.7535746876057874,-1.800833430168362,2.776957270743242,4.200000762939453,-0.0701434303589264,False,False,High,1.0,0.0,0.5
2020-01-27,-0.0908646273032529,1.86374056283504,-1.8943694148149168,3.045708320930093,3.029998779296875,0.0163180566140622,False,False,Medium,1.0,0.0,0.5
2020-01-28,0.0670797885268248,1.2922975081198054,1.1987548147047131,1.809524576252202,2.240001678466797,0.0235142074799016,False,False,Medium,0.46886505865554007,0.0,0.23443252932777003
2020-01-29,-0.043928342632039,1.0131635585455625,-0.9615801600567436,1.2067301612440524,2.8799972534179616,-0.0556109632691251,False,False,Medium,0.005177047110809583,0.0,0.0025885235554047913
2020-01-30,-0.0388169381427732,1.623854864534224,-0.8479645542226062,2.586251800296849,1.7900009155273438,-0.0041039046323576,False,False,Medium,1.0,0.0,0.5
2020-01-31,-0.1074175737226895,4.537500006664867,-2.130242865582277,7.623794795792847,9.419998168945312,-0.0999999154637687,True,False,High,1.0,0.5,0.85
2020-02-03,-0.0350877574054612,1.4930831872719732,-0.741669578777156,1.991627668912198,4.410001754760739,-0.0383435015692916,False,False,Medium,0.6089443607016907,0.0,0.30447218035084533
2020-02-04,0.1559809007175463,1.5021259459023375,2.8220349172656847,2.04855868556989,3.990001678466797,0.054101237712775,False,False,High,1.0,0.0,0.5
