cluster_id,start_date,end_date,length_days,n_high_days,max_vol_z,avg_ret_%,post_1d_%,post_3d_%,post_5d_%,pump_dump,pump_pct_%,dump_pct_%,time_to_peak_days,time_to_dump_days
1,2020-01-08,2020-01-10,3,2,4.455720393253664,7.488715330900537,5.955682939127405,4.178211879136451,15.46629919237963,0,12.442980135152037,-2.366462164383798,1.0,1.0
2,2020-01-24,2020-01-24,1,0,2.776957270743242,-8.59636555920031,-9.086462730325295,-7.249578169057513,-20.426156695012953,1,0.0,-9.086462730325295,0.0,3.0
3,2020-01-27,2020-01-27,1,0,3.045708320930093,-9.08646273032529,6.7079788526824835,-1.939648240095737,-15.544177576629226,0,0.0,-1.939648240095737,0.0,3.0
4,2020-01-30,2020-01-31,2,1,7.623794795792847,-7.311725593273135,-3.5087757405461217,11.757462288332166,7.7254484206344065,1,0.0,-13.873628936028581,0.0,4.0
5,2020-02-03,2020-02-05,3,0,2.097421194988613,4.0941567376859105,-2.7816086423323783,1.5422680732964045,6.719907833723759,0,15.82137458203361,-3.6078251824430585,2.0,2.0
6,2020-03-18,2020-03-18,1,0,-0.1328331422822729,-13.310262297642051,-6.388378839465214,-13.466421732171685,1.6333966439247893,0,,,,
7,2020-03-24,2020-03-24,1,0,-0.1442661819310963,15.142619912943612,2.003640152182107,-6.6302424465869425,-0.9471774923695664,0,,,,
8,2020-04-02,2020-04-03,2,2,9.983110125967922,-45.755009447892576,-18.401491206254406,-18.401491206254406,-18.401491206254406,1,0.0,-31.40625310828905,0.0,4.0
9,2020-04-06,2020-04-07,2,1,2.6847204810410714,-9.2007456031272,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0
10,2020-12-17,2020-12-18,2,2,6.568650357283011,62.34366456357156,-12.951170458045102,-16.34819479172339,-23.460722083310625,1,28.163268007074294,-16.34819479172339,1.0,5.0
11,2020-12-21,2020-12-21,1,0,2.0314511853728825,-12.9511704580451,5.243906282655342,-7.439020376415262,2.1951257239347655,1,0.0,-7.439020376415262,0.0,3.0
12,2021-01-26,2021-01-26,1,0,0.2506340767349067,25.435203826207697,2.6985306136434684,-16.19121309355839,-13.569777892418045,0,,,,
13,2021-02-05,2021-02-05,1,1,7.678184883532543,-45.00779751515018,9.92907504009828,9.078012044973939,-19.29078151376111,0,0.0,9.078012044973939,0.0,5.0
14,2021-02-08,2021-02-08,1,0,1.2285554625123225,9.92907504009827,3.2258064516129004,-16.129032258064512,-23.354837971348918,0,,,,
15,2021-03-16,2021-03-16,1,1,1.111168961589834,49.315069164248186,1.0321118099983373,14.564214050443901,26.14678512788695,0,,,,
16,2021-06-09,2021-06-09,1,0,-0.1973934865870005,6.97142464773996,-3.9529903753268925,-3.6324702071011905,-1.7094001418896276,0,,,,
17,2021-06-30,2021-07-02,3,0,1.179078201708465,16.113981522019174,7.772438322181152,-3.2051252660430296,23.477567409034904,0,,,,
18,2021-07-06,2021-07-06,1,0,1.0597646953303173,7.7724383221811495,-4.089220806947469,3.643121026519447,10.86245697563848,0,,,,
19,2021-07-09,2021-07-09,1,0,0.1148947037469362,15.397348248547079,10.54519592021672,-0.17933729758108363,-7.604013614419614,0,,,,
20,2021-07-12,2021-07-12,1,0,0.7770234402355104,10.54519592021672,-3.238154448949526,-13.043479875305696,-15.249834205482227,0,,,,
21,2021-09-07,2021-09-07,1,0,1.7323329671131182,6.629834727181939,4.209848379985859,4.274616703519629,13.212435345172358,0,,,,
22,2021-12-03,2021-12-03,1,0,0.7416681728721736,-16.27566137207303,-6.042036159789033,11.208403891592479,12.959715694823547,0,,,,
