Date,Open,High,Low,Close,Volume,gap_days,Year,intraday_range,return,volatility_120,log_return,range_pct,close_open_ret,vol_mean,vol_std,ret_mean,ret_std,vol_z,ret_z,vol_ratio,MA_5,MA_20,MA_50,RSI_14,BB_upper,BB_lower,BB_pos,MACD_line,MACD_signal,MACD_hist,ATR_14,return_z,vol_ratio_z,range_pct_z,RSI_14_z
2019-12-17,31.489999771118164,31.68000030517578,30.280000686645508,31.13999938964844,8483400.0,1.0,2019,1.3999996185302734,0.0016082096112948197,0.048028428008582376,0.0016069178270057105,0.04495824168177927,-0.011114651762898218,4728020.833333333,4253057.117852238,0.0055070479773147,0.048028428008582376,0.8829834781440945,-0.08117772177184693,0.9495953524295645,30.78199996948242,30.154999923706054,24.17199996948242,46.80426413044335,33.37458117041435,26.935418676997752,0.3059402420577056,1.9486529485773048,2.202754860197056,-0.25410191161975115,2.0514287948608394,-0.08117772177184693,-0.19582034996272626,-0.41520641313255213,-0.44248691413444236
2019-12-18,31.200000762939453,31.96999931335449,30.11000061035156,31.540000915527344,8963100.0,1.0,2019,1.8599987030029297,0.012845264409731216,0.04777834262497249,0.012763463756782374,0.05897269020329167,0.01089744052159626,4759184.166666667,4270383.3929585805,0.005120432347764531,0.04777834262497249,0.9844352243091696,0.16168062007929754,0.9749529552104598,31.270000076293947,30.36899995803833,24.431999969482423,50.236651753928605,33.33755003439296,27.4004498816837,0.3944689923934174,1.900710524150032,2.142345992987651,-0.241635468837619,2.0864286422729488,0.16168062007929754,-0.17292495960660767,0.05198089566012881,-0.23530995458470844
2019-12-19,31.559999465942383,33.349998474121094,31.540000915527344,32.27000045776367,10438100.0,1.0,2019,1.80999755859375,0.023145197243064963,0.04775883344845636,0.022881409686903924,0.056089170527368,0.02249686323941414,4816615.0,4300174.110167668,0.005462958549170084,0.04775883344845636,1.3072691607319158,0.37024017165281903,1.1037444260806029,31.370000076293945,30.667500019073486,24.700399971008302,57.464790283699244,33.057539247734034,28.27746079041294,0.6704912703831546,1.899721858533269,2.0938211660967747,-0.1940993075635058,2.0799999237060542,0.37024017165281903,-0.05143292848269245,-0.041031709700944004,0.19586537698758094
2019-12-20,32.880001068115234,33.13999938964844,31.56999969482422,32.189998626708984,7586000.0,1.0,2019,1.5699996948242188,-0.002479139445919709,0.04771233614242961,-0.002482217600618122,0.048772903442174866,-0.02098547503015038,4868416.666666667,4295742.604203449,0.0055990383060004366,0.04771233614242961,0.6326224785149224,-0.16931004442552094,0.7868170970051649,31.645999908447266,30.879499912261963,24.974999961853026,56.871029802615695,32.990507972929805,28.768491851594124,0.6207928519384389,1.8709160985666777,2.0492401525907553,-0.17832405402407758,2.0642855507986884,-0.16931004442552094,-0.36571660806022505,-0.2892727131305478,0.15874519158204228
2019-12-23,32.29999923706055,36.09000015258789,31.920000076293945,35.5,14252100.0,3.0,2019,4.170000076293945,0.10282701194477872,0.04848517863325975,0.0978768938326926,0.11746479088151959,0.09907123339086085,4978909.166666667,4365183.840613387,0.0062118764615612275,0.04848517863325975,2.1243528730808925,1.9926736006071282,1.4199146649096634,32.52799987792969,31.161999893188476,25.306399955749512,61.21672838351182,34.05884803140199,28.26515175497496,1.4974896507646285,2.091072195623852,2.0576065611973746,0.03346563442647721,2.1685713359287804,1.9926736006071282,0.24399300033430715,1.938378715910008,0.4155914708989786
2019-12-24,35.79999923706055,36.29999923706055,34.25,34.41999816894531,7005700.0,1.0,2019,2.049999237060547,-0.030422586790272876,0.048595426117834975,-0.030894958895383372,0.05955837728399747,-0.03854751669063284,5025377.5,4356753.884159232,0.0058462665147755695,0.048595426117834975,0.4545408238919063,-0.7463429421753222,0.6901233724698004,33.183999633789064,31.282999801635743,25.61139991760254,65.53594004148546,34.510519704116554,28.055479899154935,0.9719532216976693,2.1535752914605943,2.0768003072500187,0.0767749842105756,2.0949998583112444,-0.7463429421753222,-0.47596555744108643,0.03699864214595121,0.6649470260117152
2019-12-26,34.88999938964844,35.61000061035156,34.0099983215332,35.31999969482422,7564700.0,2.0,2019,1.6000022888183594,0.026147634333429925,0.048554902164426254,0.025811629509461684,0.04530017844402256,0.012324457228375838,5076492.5,4350204.84934765,0.0062598419549789895,0.048554902164426254,0.5719747888132504,0.4095939131151566,0.7368190363018302,33.939999389648435,31.4439998626709,25.925799903869628,71.83671965329356,35.13157968055504,27.756420044786758,1.0510958470255671,2.2497977783947007,2.1113998014789552,0.1383979769157455,2.0642856870378763,0.4095939131151566,-0.4342775843206564,-0.4364553022025135,1.0224388311231134
2019-12-27,35.400001525878906,37.7599983215332,35.08000183105469,36.43999862670898,12731200.0,1.0,2019,2.6799964904785156,0.0317100493080944,0.04858548432475042,0.031217667609946684,0.07354546079796478,0.029378447909664325,5171035.833333333,4392403.473412136,0.006611215063372708,0.04858548432475042,1.7211907358760308,0.5165912122427037,1.2565974193981404,34.7739990234375,31.692499828338622,26.264599876403807,72.45507105091804,36.00444032099784,27.380559335679408,1.101012132809497,2.3888916897510377,2.166898179133372,0.2219935106176658,2.15642820085798,0.5165912122427037,0.07034849546320295,0.48242077116449483,1.0418329595193814
2019-12-30,36.41999816894531,38.68000030517578,35.689998626708984,37.77999877929688,12829400.0,3.0,2019,2.990001678466797,0.0367727827411537,0.048659953333520925,0.03611279505713901,0.07914245037258424,0.03734213835055099,5270509.166666667,4429702.950907273,0.006913252635378968,0.048659953333520925,1.7064103207609334,0.6136366367043978,1.238427609249933,35.891999053955075,32.07399978637695,26.626999855041504,73.6305547854623,37.10199381097472,27.04600576177919,1.1348460171203976,2.5775391630742526,2.249026375921548,0.3285127871527047,2.282856941223145,0.6136366367043978,0.04418690340402277,0.6542976720215018,1.093296842149633
2019-12-31,37.5,40.29999923706055,37.45000076293945,39.36000061035156,13036200.0,1.0,2019,2.8499984741210938,0.04182111916638043,0.048722743604205615,0.04097025792841803,0.07240849669528594,0.049600016276041665,5360304.166666667,4477140.770107708,0.0070197700480238165,0.048722743604205615,1.7144638123917357,0.7142731821726199,1.3059493783745606,36.66399917602539,32.529999828338624,27.032599868774415,74.9394515313795,38.435340315241625,26.624659341435628,1.1565803525064597,2.822006256467752,2.363622352030789,0.4583839044369631,2.378571101597377,0.7142731821726199,0.10534298533459921,0.4212988926476517,1.1520008432834625
