Date,Adj Close,Close,High,Low,Open,Volume,gap_days
2023-07-17,61870.484375,72300.0,73600.0,72200.0,73000.0,5802800,
2023-07-19,62127.2109375,72600.0,73000.0,72400.0,72500.0,3025100,2.0
2023-07-20,62127.2109375,72600.0,72800.0,72300.0,72600.0,2600707,1.0
2023-07-21,62897.37890625,73500.0,73500.0,72500.0,72600.0,3821822,1.0
2023-07-24,62982.95703125,73600.0,74000.0,73300.0,73500.0,2535331,3.0
2023-07-26,64180.9921875,75000.0,75200.0,74300.0,74400.0,3189718,2.0
2023-07-28,66234.7890625,77400.0,77700.0,75600.0,75800.0,6143629,2.0
2023-08-03,62127.2109375,72600.0,74100.0,72600.0,74100.0,2917624,6.0
2023-08-04,62469.49609375,73000.0,73000.0,72000.0,72500.0,3165221,1.0
2023-08-07,64095.4140625,74900.0,74900.0,72300.0,72900.0,5087933,3.0
2023-08-08,63753.12890625,74500.0,74900.0,73900.0,74700.0,3510526,1.0
2023-08-09,62555.0859375,73100.0,74500.0,72800.0,74500.0,3727162,1.0
2023-08-10,62555.0859375,73100.0,74000.0,72900.0,73100.0,2813226,1.0
2023-08-11,62897.37890625,73500.0,73500.0,72400.0,73100.0,2204332,1.0
2023-08-14,62811.80078125,73400.0,73500.0,72500.0,73400.0,3366514,3.0
2023-08-15,62298.359375,72800.0,73400.0,72700.0,72900.0,2259703,1.0
2023-08-16,62555.0859375,73100.0,73500.0,72500.0,72800.0,2083904,1.0
2023-08-17,62982.95703125,73600.0,74500.0,72900.0,73100.0,4650904,1.0
2023-08-18,62726.23828125,73300.0,74800.0,72100.0,73500.0,7106201,1.0
2023-08-21,62383.93359375,72900.0,73800.0,72700.0,72700.0,3617708,3.0
2023-08-22,62212.78515625,72700.0,73200.0,71100.0,73200.0,3075108,1.0
2023-08-23,62897.37890625,73500.0,73600.0,71600.0,72400.0,4172801,1.0
2023-08-24,63924.26953125,74700.0,74900.0,73000.0,73500.0,5206002,1.0
2023-08-25,64095.4140625,74900.0,75300.0,74300.0,75300.0,3045401,1.0
2023-08-28,66662.65625,77900.0,78100.0,75000.0,75000.0,6034900,3.0
2023-08-29,66234.7890625,77400.0,77600.0,76200.0,77500.0,4199801,1.0
2023-08-30,66577.0859375,77800.0,78500.0,76500.0,77000.0,2659700,1.0
2023-08-31,66577.0859375,77800.0,78900.0,77100.0,77500.0,4386000,1.0
2023-09-05,68545.3125,80100.0,80500.0,78100.0,78500.0,6839901,5.0
2023-09-06,68459.7421875,80000.0,80100.0,79500.0,80100.0,2280401,1.0
2023-09-07,68031.859375,79500.0,80000.0,78600.0,79900.0,3726700,1.0
2023-09-08,68459.7421875,80000.0,80100.0,79100.0,79200.0,2774901,1.0
2023-09-11,68031.859375,79500.0,81100.0,77600.0,80000.0,4234900,3.0
2023-09-12,68716.4609375,80300.0,80700.0,78300.0,79000.0,2708500,1.0
2023-09-13,67689.5703125,79100.0,80300.0,78700.0,79600.0,2507600,1.0
2023-09-14,67946.28125,79400.0,80000.0,78400.0,78500.0,2660100,1.0
2023-09-15,68031.859375,79500.0,81200.0,79000.0,79400.0,5614800,1.0
2023-09-18,67518.40625,78900.0,79800.0,78700.0,79100.0,1499600,3.0
2023-09-19,67518.40625,78900.0,78900.0,77400.0,78500.0,2571703,1.0
2023-09-20,67004.96875,78300.0,78800.0,78000.0,78400.0,2403202,1.0
2023-09-21,66748.2421875,78000.0,78300.0,77300.0,78100.0,2577902,1.0
2023-09-22,66320.375,77500.0,78300.0,75800.0,77100.0,4361903,1.0
2023-09-25,66405.9375,77600.0,78500.0,76700.0,77200.0,2795503,3.0
2023-09-26,65122.31640625,76100.0,78000.0,76000.0,77600.0,2634600,1.0
2023-09-27,65550.1875,76600.0,76600.0,74800.0,76300.0,2273300,1.0
2023-09-28,64009.8515625,74800.0,76400.0,74800.0,76100.0,2034300,1.0
2023-09-29,63496.40234375,74200.0,76400.0,74200.0,75000.0,1403900,1.0
2023-10-02,64694.45703125,75600.0,75600.0,74200.0,74200.0,1304901,3.0
2023-10-03,63325.24609375,74000.0,75100.0,73900.0,74600.0,2013700,1.0
2023-10-04,63667.55078125,74400.0,74600.0,73400.0,73600.0,1177900,1.0
2023-10-05,62212.78515625,72700.0,74400.0,72700.0,74100.0,2645700,1.0
2023-10-06,63496.40234375,74200.0,74200.0,72600.0,72700.0,1327000,1.0
2023-10-09,63068.53125,73700.0,74100.0,73600.0,74000.0,1621374,3.0
2023-10-10,63667.55078125,74400.0,75000.0,74000.0,74300.0,1123900,1.0
2023-10-11,63667.55078125,74400.0,74800.0,74000.0,74600.0,1898774,1.0
2023-10-12,64608.87890625,75500.0,75900.0,74500.0,74500.0,2534800,1.0
2023-10-13,64865.59765625,75800.0,76300.0,75000.0,75400.0,1560000,1.0
2023-10-16,64352.15625,75200.0,75800.0,74700.0,75100.0,1374400,3.0
2023-10-17,64009.8515625,74800.0,76100.0,74800.0,75300.0,1595900,1.0
2023-10-18,63239.67578125,73900.0,74800.0,72400.0,74800.0,2572400,1.0
2023-10-19,61100.3125,71400.0,73400.0,70900.0,73400.0,4007700,1.0
2023-10-20,61870.484375,72300.0,72500.0,70200.0,71300.0,2371808,1.0
