Date,Open,High,Low,Close,Volume,gap_days,Year,intraday_range,return,volatility_120,log_return,range_pct,close_open_ret,vol_mean,vol_std,ret_mean,ret_std,vol_z,ret_z,vol_ratio,MA_5,MA_20,MA_50,RSI_14,BB_upper,BB_lower,BB_pos,MACD_line,MACD_signal,MACD_hist,ATR_14,return_z,vol_ratio_z,range_pct_z,RSI_14_z,ml_score
2019-12-17,31.489999771118164,31.68000030517578,30.280000686645508,31.13999938964844,8483400.0,1.0,2019,1.3999996185302734,0.0016082096112948,0.0480284280085823,0.0016069178270057,0.0449582416817792,-0.0111146517628982,4728020.833333333,4253057.117852238,0.0055070479773147,0.0480284280085823,0.8829834781440945,-0.0811777217718469,0.9495953524295644,30.78199996948242,30.15499992370605,24.17199996948242,46.80426413044335,33.37458117041435,26.935418676997752,0.3059402420577056,1.9486529485773048,2.202754860197056,-0.2541019116197511,2.0514287948608394,-0.0811777217718469,-0.1958203499627262,-0.4152064131325521,-0.4424869141344423,0.10015452286567766
2019-12-18,31.200000762939453,31.96999931335449,30.11000061035156,31.540000915527344,8963100.0,1.0,2019,1.8599987030029297,0.0128452644097312,0.0477783426249724,0.0127634637567823,0.0589726902032916,0.0108974405215962,4759184.166666667,4270383.3929585805,0.0051204323477645,0.0477783426249724,0.9844352243091696,0.1616806200792975,0.9749529552104598,31.270000076293947,30.36899995803833,24.431999969482423,50.236651753928605,33.33755003439296,27.4004498816837,0.3944689923934174,1.900710524150032,2.142345992987651,-0.241635468837619,2.0864286422729488,0.1616806200792975,-0.1729249596066076,0.0519808956601288,-0.2353099545847084,0.10654592340328345
2019-12-19,31.559999465942383,33.349998474121094,31.540000915527344,32.27000045776367,10438100.0,1.0,2019,1.80999755859375,0.0231451972430649,0.0477588334484563,0.0228814096869039,0.056089170527368,0.0224968632394141,4816615.0,4300174.110167668,0.00546295854917,0.0477588334484563,1.3072691607319158,0.370240171652819,1.1037444260806029,31.370000076293945,30.667500019073486,24.700399971008306,57.46479028369925,33.057539247734034,28.27746079041294,0.6704912703831546,1.899721858533269,2.0938211660967747,-0.1940993075635058,2.0799999237060542,0.370240171652819,-0.0514329284826924,-0.041031709700944,0.1958653769875809,0.13576943451233764
2019-12-20,32.880001068115234,33.13999938964844,31.56999969482422,32.189998626708984,7586000.0,1.0,2019,1.5699996948242188,-0.0024791394459197,0.0477123361424296,-0.0024822176006181,0.0487729034421748,-0.0209854750301503,4868416.666666667,4295742.604203449,0.0055990383060004,0.0477123361424296,0.6326224785149224,-0.1693100444255209,0.7868170970051649,31.645999908447266,30.879499912261963,24.974999961853023,56.871029802615695,32.990507972929805,28.768491851594124,0.6207928519384389,1.8709160985666775,2.0492401525907558,-0.1783240540240775,2.0642855507986884,-0.1693100444255209,-0.365716608060225,-0.2892727131305478,0.1587451915820422,0.08984274072658405
2019-12-23,32.29999923706055,36.09000015258789,31.920000076293945,35.5,14252100.0,3.0,2019,4.170000076293945,0.1028270119447787,0.0484851786332597,0.0978768938326926,0.1174647908815195,0.0990712333908608,4978909.166666667,4365183.840613387,0.0062118764615612,0.0484851786332597,2.1243528730808925,1.992673600607128,1.4199146649096634,32.52799987792969,31.16199989318848,25.306399955749512,61.21672838351182,34.05884803140199,28.26515175497496,1.4974896507646285,2.091072195623852,2.0576065611973746,0.0334656344264772,2.1685713359287804,1.992673600607128,0.2439930003343071,1.938378715910008,0.4155914708989786,0.3757087063834038
2019-12-24,35.79999923706055,36.29999923706055,34.25,34.41999816894531,7005700.0,1.0,2019,2.049999237060547,-0.0304225867902728,0.0485954261178349,-0.0308949588953833,0.0595583772839974,-0.0385475166906328,5025377.5,4356753.884159232,0.0058462665147755,0.0485954261178349,0.4545408238919063,-0.7463429421753222,0.6901233724698004,33.183999633789064,31.282999801635743,25.61139991760254,65.53594004148546,34.510519704116554,28.055479899154932,0.9719532216976692,2.1535752914605943,2.0768003072500187,0.0767749842105756,2.0949998583112444,-0.7463429421753222,-0.4759655574410864,0.0369986421459512,0.6649470260117152,0.14481771933399817
2019-12-26,34.88999938964844,35.61000061035156,34.0099983215332,35.31999969482422,7564700.0,2.0,2019,1.6000022888183594,0.0261476343334299,0.0485549021644262,0.0258116295094616,0.0453001784440225,0.0123244572283758,5076492.5,4350204.84934765,0.0062598419549789,0.0485549021644262,0.5719747888132504,0.4095939131151566,0.7368190363018302,33.939999389648435,31.4439998626709,25.925799903869628,71.83671965329356,35.13157968055504,27.75642004478676,1.0510958470255671,2.2497977783947007,2.1113998014789552,0.1383979769157455,2.0642856870378763,0.4095939131151566,-0.4342775843206564,-0.4364553022025135,1.0224388311231134,0.1509351229630081
2019-12-27,35.400001525878906,37.7599983215332,35.08000183105469,36.43999862670898,12731200.0,1.0,2019,2.679996490478516,0.0317100493080944,0.0485854843247504,0.0312176676099466,0.0735454607979647,0.0293784479096643,5171035.833333333,4392403.473412136,0.0066112150633727,0.0485854843247504,1.7211907358760308,0.5165912122427037,1.2565974193981404,34.7739990234375,31.692499828338622,26.264599876403807,72.45507105091804,36.00444032099784,27.380559335679408,1.101012132809497,2.3888916897510377,2.166898179133372,0.2219935106176658,2.15642820085798,0.5165912122427037,0.0703484954632029,0.4824207711644948,1.0418329595193814,0.22679661740050056
2019-12-30,36.41999816894531,38.68000030517578,35.689998626708984,37.77999877929688,12829400.0,3.0,2019,2.990001678466797,0.0367727827411537,0.0486599533335209,0.036112795057139,0.0791424503725842,0.0373421383505509,5270509.166666667,4429702.950907273,0.0069132526353789,0.0486599533335209,1.7064103207609334,0.6136366367043978,1.238427609249933,35.891999053955075,32.07399978637695,26.626999855041504,73.6305547854623,37.10199381097472,27.04600576177919,1.1348460171203976,2.577539163074253,2.249026375921548,0.3285127871527047,2.282856941223145,0.6136366367043978,0.0441869034040227,0.6542976720215018,1.093296842149633,0.2561593006485246
2019-12-31,37.5,40.29999923706055,37.45000076293945,39.36000061035156,13036200.0,1.0,2019,2.8499984741210938,0.0418211191663804,0.0487227436042056,0.040970257928418,0.0724084966952859,0.0496000162760416,5360304.166666667,4477140.770107708,0.0070197700480238,0.0487227436042056,1.7144638123917355,0.7142731821726199,1.3059493783745606,36.66399917602539,32.529999828338624,27.032599868774412,74.9394515313795,38.435340315241625,26.624659341435628,1.1565803525064595,2.822006256467752,2.363622352030789,0.4583839044369631,2.378571101597377,0.7142731821726199,0.1053429853345992,0.4212988926476517,1.1520008432834623,0.27633863499519906
